RegionID,last_months_since_2000,Zillow_Home_Value_Index_last,forecast_months_since_2000_h1,Zillow_Home_Value_Index_pred_t_plus_1,forecast_months_since_2000_h3,Zillow_Home_Value_Index_pred_t_plus_3,forecast_months_since_2000_h12,Zillow_Home_Value_Index_pred_t_plus_12
394440,305,355474.305308838,306,366310.2179278702,308,366310.2179278702,317,366310.2179278702
394441,305,224907.71383892992,306,231178.42974937134,308,231178.42974937134,317,231178.42974937134
394442,305,145330.53864738168,306,150450.7626186174,308,150450.7626186174,317,150450.7626186174
394443,305,233755.13067537628,306,238721.07297405758,308,238721.07297405758,317,238721.07297405758
394444,305,493660.7734793092,306,492267.427320238,308,492267.427320238,317,492267.427320238
394445,305,305465.8687311495,306,304980.48185404396,308,304980.48185404396,317,304980.48185404396
394446,305,407522.0842767062,306,399107.58124711236,308,399107.58124711236,317,399107.58124711236
394447,305,236971.88600600592,306,238024.19990352876,308,238024.19990352876,317,238024.19990352876
394448,305,217178.044993393,306,215450.14079713923,308,215450.14079713923,317,215450.14079713923
394449,305,262625.09487359616,306,233157.99571062915,308,233157.99571062915,317,233157.99571062915
394451,305,112370.01815160504,306,118136.02422156895,308,118136.02422156895,317,118136.02422156895
394452,305,435673.1554871134,306,435447.1154883306,308,435447.1154883306,317,435447.1154883306
394453,305,281746.6103971422,306,296951.1802345878,308,296951.1802345878,317,296951.1802345878
394454,305,228209.81249388293,306,235814.9526630839,308,235814.9526630839,317,235814.9526630839
394455,305,146123.99156869962,306,149004.54474556298,308,149004.54474556298,317,149004.54474556298
394456,305,140819.07207639483,306,139164.90838666065,308,139164.90838666065,317,139164.90838666065
394457,305,437172.5606061549,306,442492.2165917184,308,442492.2165917184,317,442492.2165917184
394458,305,390787.181923706,306,413576.99736791244,308,413576.99736791244,317,413576.99736791244
394459,305,464832.4039315639,306,472836.63085713034,308,472836.63085713034,317,472836.63085713034
394460,305,327172.9286605371,306,324710.8561818187,308,324710.8561818187,317,324710.8561818187
394462,305,380113.8517176255,306,401579.2514425316,308,401579.2514425316,317,401579.2514425316
394463,305,344762.75530736544,306,344206.3884558056,308,344206.3884558056,317,344206.3884558056
394464,305,401588.6193149246,306,402472.22194637463,308,402472.22194637463,317,402472.22194637463
394465,305,195720.540856308,306,196518.13503017314,308,196518.13503017314,317,196518.13503017314
394466,305,302852.5329184976,306,303442.4532680035,308,303442.4532680035,317,303442.4532680035
394469,305,152874.40662671044,306,157869.27627696912,308,157869.27627696912,317,157869.27627696912
394470,305,46667.50399176538,306,63101.38464174825,308,63101.38464174825,317,63101.38464174825
394471,305,297137.2313022069,306,297213.3435504937,308,297213.3435504937,317,297213.3435504937
394472,305,312771.27318493935,306,314986.75189844484,308,314986.75189844484,317,314986.75189844484
394473,305,126526.89424999556,306,130312.26894862484,308,130312.26894862484,317,130312.26894862484
394474,305,307170.7736191419,306,305100.8977992639,308,305100.8977992639,317,305100.8977992639
394475,305,245781.47259926383,306,247241.23560487945,308,247241.23560487945,317,247241.23560487945
394476,305,279149.38251520455,306,275455.6437424503,308,275455.6437424503,317,275455.6437424503
394477,305,173366.87549920607,306,165692.48951866044,308,165692.48951866044,317,165692.48951866044
394478,305,160995.52966966594,306,164973.85534879568,308,164973.85534879568,317,164973.85534879568
394480,305,589258.9660726824,306,590155.9903452187,308,590155.9903452187,317,590155.9903452187
394481,305,92747.400061097,306,99477.8455933975,308,99477.8455933975,317,99477.8455933975
394482,305,206383.3119554449,306,209269.2152924499,308,209269.2152924499,317,209269.2152924499
394483,305,307058.3685130371,306,312594.8686252681,308,312594.8686252681,317,312594.8686252681
394484,305,466483.9527428747,306,486970.7437453674,308,486970.7437453674,317,486970.7437453674
394485,305,313645.0402250124,306,325866.5775334547,308,325866.5775334547,317,325866.5775334547
394486,305,249854.61626568047,306,253017.0941298736,308,253017.0941298736,317,253017.0941298736
394488,305,198923.1352516992,306,201318.09549704246,308,201318.09549704246,317,201318.09549704246
